# JD_UTC & u1coord [m] & v1coord [m] & u2coord [m] & v2coord [m] & eff_wave [m] & eff_band [m] & t3amp & t3amperr & t3phi & t3phierr & incremental dataset number & dataset
      2451093.85802245     -3.58978600e+01  -3.19114087e-01   2.06586762e+01   7.78288383e+00      5.67500024e-07   1.13000000e-08      1.81738138e-01   8.85359198e-02  -5.34450179e+01   2.36192893e+01	1 dat/1998-10-07.dat
      2451093.85802245     -3.58978600e+01  -3.19114087e-01   2.06586762e+01   7.78288383e+00      5.79100004e-07   1.20000001e-08      1.91651672e-01   5.29629551e-02  -9.64124300e+01   1.33957179e+01	1 dat/1998-10-07.dat
      2451093.85802245     -3.58978600e+01  -3.19114087e-01   2.06586762e+01   7.78288383e+00      5.91400010e-07   1.27000002e-08      1.42743468e-01   4.64035012e-02  -6.44223374e+01   1.77341576e+01	1 dat/1998-10-07.dat
      2451093.85802245     -3.58978600e+01  -3.19114087e-01   2.06586762e+01   7.78288383e+00      6.04499974e-07   1.34000002e-08      1.84167832e-01   4.26563397e-02  -8.34554792e+01   9.14554646e+00	1 dat/1998-10-07.dat
      2451093.85802245     -3.58978600e+01  -3.19114087e-01   2.06586762e+01   7.78288383e+00      6.18300021e-07   1.42000003e-08      1.27085119e-01   3.72610874e-02  -6.67025824e+01   1.37884205e+01	1 dat/1998-10-07.dat
      2451093.85802245     -3.58978600e+01  -3.19114087e-01   2.06586762e+01   7.78288383e+00      6.48699995e-07   1.60999996e-08      1.28291056e-01   3.94458808e-02  -1.64606910e+01   1.44492737e+01	1 dat/1998-10-07.dat
      2451093.85802245     -3.58978600e+01  -3.19114087e-01   2.06586762e+01   7.78288383e+00      6.65400023e-07   1.71999996e-08      1.41666934e-01   2.04237029e-02  -1.73913453e+01   6.14617347e+00	1 dat/1998-10-07.dat
      2451093.85802245     -3.58978600e+01  -3.19114087e-01   2.06586762e+01   7.78288383e+00      6.83200028e-07   1.84999998e-08      2.30691686e-01   3.80816683e-02  -1.20905174e+01   7.72572601e+00	1 dat/1998-10-07.dat
      2451093.85802245     -3.58978600e+01  -3.19114087e-01   2.06586762e+01   7.78288383e+00      7.02299985e-07   1.97999999e-08      2.06335083e-01   2.30123717e-02  -1.98459705e+00   3.79857726e+00	1 dat/1998-10-07.dat
      2451093.85802245     -3.58978600e+01  -3.19114087e-01   2.06586762e+01   7.78288383e+00      7.22799996e-07   2.13000000e-08      2.79027164e-01   2.56277658e-02  -1.54697317e+00   3.17041629e+00	1 dat/1998-10-07.dat
